country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Romania,Europe,1029304,26232.0,940792,62280,1475.0,53791,1371.0,7902628.0,412991.0,19135100
Russia,Europe,4702101,105582.0,4326780,269739,2300.0,32210,723.0,125400000.0,858996.0,145984373
Rwanda,Africa,23888,325.0,22241,1322,6.0,1809,25.0,1256919.0,95178.0,13205919
Saint Barthelemy,North America,934,1.0,462,471,,94334,101.0,26385.0,2664882.0,9901
Saint Kitts And Nevis,North America,44,,44,0,,822,,12381.0,231429.0,53498
Saint Lucia,North America,4401,67.0,4238,96,3.0,23880,364.0,38600.0,209447.0,184295
Saint Martin,North America,1702,12.0,1399,291,7.0,43431,306.0,27588.0,703973.0,39189
Saint Pierre And Miquelon,North America,25,,24,1,,4332,,5318.0,921504.0,5771
Saint Vincent And The Grenadines,North America,1819,10.0,1677,132,2.0,16355,90.0,44072.0,396256.0,111221
Samoa,Australia/Oceania,3,,2,1,,15,,,,199463
San Marino,Europe,5026,87.0,4724,215,4.0,147876,2560.0,58004.0,1706602.0,33988
Sao Tome And Principe,Africa,2275,35.0,2212,28,,10230,157.0,12597.0,56646.0,222383
Saudi Arabia,Asia,404970,6823.0,388702,9445,1044.0,11490,194.0,16174957.0,458943.0,35243920
Senegal,Africa,39782,1091.0,38511,180,19.0,2327,64.0,464096.0,27152.0,17092352
Serbia,Europe,662368,5991.0,589535,66842,218.0,76053,688.0,3683511.0,422942.0,8709259
Seychelles,Africa,4922,25.0,4351,546,,49802,253.0,21504.0,217581.0,98832
Sierra Leone,Africa,4028,79.0,2849,1100,,497,10.0,119155.0,14701.0,8105403
Singapore,Asia,60831,30.0,60485,316,2.0,10333,5.0,9036706.0,1535041.0,5886946
Sint Maarten,North America,2205,27.0,2144,34,1.0,50967,624.0,25322.0,585304.0,43263
Slovakia,Europe,375974,11106.0,255300,109568,438.0,68838,2033.0,2503748.0,458415.0,5461751
Slovenia,Europe,232071,4159.0,215986,11926,153.0,111617,2000.0,1130141.0,543555.0,2079166
Solomon Islands,Australia/Oceania,20,,18,2,,29,,4500.0,6427.0,700195
Somalia,Africa,13079,670.0,5413,6996,,805,41.0,104392.0,6427.0,16243130
South Africa,Africa,1566769,53736.0,1490143,22890,546.0,26155,897.0,10337066.0,172565.0,59902511
South Korea,Asia,114646,1801.0,104474,8371,99.0,2235,35.0,8414821.0,164018.0,51304373
South Sudan,Africa,10473,114.0,10215,144,,927,10.0,143571.0,12708.0,11297979
Spain,Europe,3407283,76981.0,3129234,201068,2180.0,72853,1646.0,44285495.0,946894.0,46769223
Sri Lanka,Asia,96796,618.0,93113,3065,,4505,29.0,2374627.0,110526.0,21484770
State Of Palestine,Asia,280741,3017.0,247359,30365,170.0,54039,581.0,1679032.0,323190.0,5195181
Sudan,Africa,31790,2208.0,25539,4043,,712,49.0,232965.0,5217.0,44658737
